Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
209.02,Walker,532.00,48.00,9.0
212.02,Houston,1464.00,131.00,9.0
212.15,DeKalb,1450.00,130.00,9.0
213.06,DeKalb,1059.00,95.00,9.0
217.05,DeKalb,833.00,75.00,9.0
233.12,DeKalb,2448.00,221.00,9.0
202.01,Chattahoochee,265.00,24.00,9.1
205,Madison,1775.00,163.00,9.2
1105.08,Walton,1353.00,126.00,9.3
1202.04,Paulding,1966.00,183.00,9.3
1206.03,Paulding,1610.00,150.00,9.3
16.07,Hall,1359.00,126.00,9.3
1606,Spalding,1166.00,109.00,9.4
201.08,Houston,1396.00,131.00,9.4
201.09,Houston,2509.00,236.00,9.4
209.01,Walker,1668.00,156.00,9.4
214.05,DeKalb,966.00,91.00,9.4
16.03,Hall,1406.00,134.00,9.5
234.13,DeKalb,886.00,84.00,9.5
235.05,DeKalb,679.00,65.00,9.6
1306,Clarke,1312.00,127.00,9.7
134.11,Bibb,999.00,97.00,9.7
1404.05,Fayette,1079.00,105.00,9.7
1803.03,Barrow,1129.00,109.00,9.7
212.18,DeKalb,1109.00,107.00,9.7
14,Whitfield,1643.00,161.00,9.8
1503,Clarke,738.00,72.00,9.8
2.03,Union,620.00,61.00,9.8
12,Clarke,775.00,77.00,9.9
1306.01,Forsyth,1296.00,130.00,10.0
1802.06,Barrow,650.00,65.00,10.0
204.02,Lee,2325.00,232.00,10.0
227,DeKalb,1136.00,113.00,10.0
234.24,DeKalb,1376.00,139.00,10.1
12,Muscogee,784.00,80.00,10.2
1301.02,Forsyth,724.00,74.00,10.2
15,Whitfield,1624.00,165.00,10.2
2,Elbert,851.00,87.00,10.2
1702,Coweta,2116.00,218.00,10.3
1201.98,Harris,1573.00,164.00,10.4
16.06,Hall,859.00,89.00,10.4
1804.02,Barrow,1604.00,166.00,10.4
204,Walker,864.00,90.00,10.4
234.19,DeKalb,2245.00,236.00,10.5
108,Fulton,1121.00,119.00,10.6
1103,Bulloch,2380.00,252.00,10.6
2,Whitfield,1090.00,115.00,10.6
233.11,DeKalb,1089.00,117.00,10.7
111,Lowndes,343.00,37.00,10.8
1305.05,Forsyth,836.00,90.00,10.8
212.09,DeKalb,1272.00,137.00,10.8
234.18,DeKalb,4530.00,488.00,10.8
234.12,DeKalb,1483.00,161.00,10.9
